id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40197100,"尖沙咀站前五臥室旅館
5 bedroom , near Tsim Sha Tsui Station",305419227,Lai Waf,,Yau Tsim Mong,22.29768,114.17297,Private room,1188,2,0,,,2,177,0,
43949450,相聚賓館,351617546,Best,,Yau Tsim Mong,22.29737,114.17277,Private room,580,1,0,,,4,180,0,
46455900,123123,104236575,Ray2,,Wan Chai,22.27883,114.17997,Entire home/apt,649,1,0,,,1,180,0,
38191829,#S25 ❤ One-Bedroom Apartment ❤  Causeway Bay MTR!,198109516,Caie,,Yau Tsim Mong,22.31895,114.16837,Entire home/apt,580,30,0,,,77,302,0,
9638719,double bed,49525455,Fung,,Yau Tsim Mong,22.30648,114.1706,Private room,359,1,7,2016-05-02,0.09,5,365,0,
39432074,Yau Ma Tei Bedspace for 2 persons (Y10G),97240131,Jov,,Yau Tsim Mong,22.31171,114.17006,Private room,180,29,0,,,340,364,0,
8690068,Rm11 - 2 Single bedroom,45593979,銀河賓館,,Yau Tsim Mong,22.30897,114.16987,Private room,450,1,5,2019-01-01,0.09,12,365,0,
30200667,Mixed Dorm Bed#K/Wan Chai/close to MTR,2767794,Check Inn HK,,Wan Chai,22.27927,114.1774,Shared room,200,1,2,2019-08-06,0.06,43,365,0,
30484205,City life,158842895,Rosvi,,Wan Chai,22.27928,114.1715,Shared room,150,3,1,2019-02-09,0.02,2,88,0,
39115699,Flat Share Room in Hung Hom-new renovation (H1c),67709885,Steven,,Kowloon City,22.31071,114.19007,Private room,180,29,0,,,259,364,0,
608235633287319695,Village house (long stay offer)/pvt rooftop & pool,83025283,Garth,,Tuen Mun,22.37767100525237,114.00618744167971,Entire home/apt,1800,2,0,,,1,286,0,
34023525,Roomlord Single Monthly Capsule 1A - Woman Only,255994030,Roomlord Wood Cave - 2 旅房 木洞 - 2店,,Yau Tsim Mong,22.29904,114.17067,Shared room,228,1,11,2019-08-12,0.29,1,365,0,
33894831,studio near mong kok MTR,255959402,Mini,,Yau Tsim Mong,22.31941,114.17003,Entire home/apt,2737,1,0,,,1,90,0,
601948751882964775,全新阳光 维多利亚烟花 海景房出租 可以短租 按天计算 也可长租,366834303,Joanna,,Yau Tsim Mong,22.302853,114.184715,Entire home/apt,1747,3,0,,,4,365,0,
52941684,D Double Room in Tsim Sha Tsui 尖沙咀雙人房 Next to MTR,230759689,Alice,,Yau Tsim Mong,22.29826,114.17369,Private room,329,1,0,,,6,90,0,
38004669,1BED ROOM JORDAN#3MINS MTR#8MINS AIRPORT TRAIN,51187996,Yuen,,Yau Tsim Mong,22.30624,114.16709,Entire home/apt,438,1,11,2020-02-19,0.33,21,66,0,
52545601,20E 旺角地鐵站口，非常清靜和便利套房,99505769,Cc,,Yau Tsim Mong,22.317692029126714,114.16985432989806,Private room,136,30,0,,,7,365,0,
38134626,家,37299932,莎貝爾,,Kowloon City,22.31312,114.18539,Entire home/apt,700,1,0,,,1,87,0,
43060101,Science Park Tolo Harbour,36501975,Victor,,Tai Po,22.42907,114.20636,Entire home/apt,1200,60,0,,,2,358,0,
28726497,"2BR IN KENEDDY TOWN, HONG KONG",156409670,Tia,,Central & Western,22.28409,114.1287,Private room,1200,29,0,,,114,364,0,
54312930,Newly renovated 7G!! TKO MTR,6067974,Wilson,,Sai Kung,22.30831,114.26245,Entire home/apt,1000,30,0,,,50,312,0,
25740597,2210 2 Bedrooms 1 Bathroom,76545056,Rita,,Islands,22.29301,113.95112,Entire home/apt,850,29,0,,,19,329,0,
12766145,nice studio ~~~~ Kennedy Town,4584648,Ivy,,Central & Western,22.28515,114.13277,Private room,217,30,0,,,384,365,0,
